Symbol	Company	num_employees	revenue_million_TTM	profit_Million_TTM	expense_million	enterprise_val_Million
REGN	Regeneron Pharmaceuticals Inc	5505	4978	4561	417	45897.59693
ROST	Ross Stores Inc	78600	12866	3693	9173	24848.21606
SBAC	SBA Communications Corp	1241	1656	1212	444	24026.53798
STX	Seagate Technology PLC	45500	11018	2615	8403	14805.73338
SHPG	Shire PLC	23906	13259	7580	5679	76365.03757
SIRI	Sirius XM Holdings Inc	2402	5110	2511	2599	28289.39059
SWKS	Skyworks Solutions Inc	7300	3353	1666	1687	17527.16493
SBUX	Starbucks Corp	254000	21976	12805	9171	88849.58822
TMUS	T-Mobile US Inc	50000	38193	20692	17501	80037.30637
TRIP	TripAdvisor Inc	3327	1500	1409	91	5913.636864
TSCO	Tractor Supply Co	13000	6875	2325	4550	8416.03072
TSLA	Tesla Inc	17782	8549	1599	6950	56546.83648
TXN	Texas Instruments Inc	29865	13763	8240	5523	80413.43386
ULTA	Ulta Beauty Inc	11600	4854	1747	3107	18219.07763
VOD	Vodafone Group PLC	111684	50579	16842	33737	120917.0739
VRSK	Verisk Analytics Inc	6148	2005	1281	724	15071.81158
VRTX	Vertex Pharmaceuticals Inc	2150	2018	1491	527	27872.19251
WBA	Walgreens Boots Alliance Inc	240000	116081	29874	86207	99511.30419
WDC	Western Digital Corp	72878	17745	3435	14310	33529.61843
XRAY	Dentsply Sirona Inc	15700	3873	2001	1872	15592.07014
YHOO	Yahoo Inc	8800	5409	2450	2959	42265.91539
IBM	International Business Machines Corp.	380300	79389	38294	41095	173626.196
HPQ	Hewlett-Packard Co.	49000	48675	8998	39677	33079.5008
GPRO	Go pro	1327	1220	462	758	1164.543488
SQ	Square	1853	1791	577	1214	6828.079104
TWTR	Twitter	3583	2483	1598	885	11115.96442
FUEL	Rocket Fuel	851	456	167	289	162.9464
ZNGA	Zynga	1681	748	502	246	2203.907584
FIT	Fitbit	1722	1963	846	1117	640.404288
TGT	Target Corp	323000	69494	20623	48871	41218.98189
HD	The home depot	406000	94594	32313	62281	208958.8163
UPS	United Parcel Service INC	237040	61802	47084	14718	103917.527
FDX	Fedex	266000	57570	33038	24532	62610.83341
ORCL	Oracle Corp	136000	37428	29568	7860	180434.1412
WMT	Wal-Mart Stores Inc.	2300000	485872	124617	361255	270603.976704
