Symbol	Company	Num_Employees	Revenue_Million_TTM	profit_Million_TTM	expanse_million	enterprise_val_Million
REGN	Regeneron Pharmaceuticals Inc	5505	4978	4560.733	417	45897.596928
ROST	Ross Stores Inc	78600	12866	3693.052	9173	24848.216064
SBAC	SBA Communications Corp	1241	1656	1212.228	444	24026.537984
STX	Seagate Technology PLC	45500	11018	2615.0	8403	14805.733376
SHPG	Shire PLC	23906	13259	7580.1	5679	76365.037568
SIRI	Sirius XM Holdings Inc	2402	5110	2511.084	2599	28289.390592
SWKS	Skyworks Solutions Inc	7300	3353	1665.2	1687	17527.164928
SBUX	Starbucks Corp	254000	21976	12804.8	9171	88849.588224
TMUS	T-Mobile US Inc	50000	38193	20692.0	17501	80037.306368
TRIP	TripAdvisor Inc	3327	1500	1409.0	91	5913.636864
TSCO	Tractor Supply Co	13000	6875	2325.202	4550	8416.03072
TSLA	Tesla Inc	17782	8549	1599.257	6950	56546.83648
TXN	Texas Instruments Inc	29865	13763	8240.0	5523	80413.433856
ULTA	Ulta Beauty Inc	11600	4854	1747.229	3107	18219.077632
VOD	Vodafone Group PLC	111684	50579	16842.0	33737	120917.07392
VRSK	Verisk Analytics Inc	6148	2005	1280.8	724	15071.811584
VRTX	Vertex Pharmaceuticals Inc	2150	2018	1491.717	527	27872.192512
WBA	Walgreens Boots Alliance Inc	240000	116081	29874.0	86207	99511.304192
WDC	Western Digital Corp	72878	17745	3435.0	14310	33529.618432
XRAY	Dentsply Sirona Inc	15700	3873	2000.9	1872	15592.070144
YHOO	Yahoo Inc	8800	5409	2450.241	2959	42265.915392
IBM	International Business Machines Corp.	380300	79389	38294.0	41095	173626.195968
WMT	Wal-Mart Stores Inc.	2300000	485872	124617.0	361255	270603.976704
HPQ	Hewlett-Packard Co.	49000	48675	8998.0	39677	33079.5008
GPRO	Go pro	1327	1220	461.92	758	1164.543488
SQ	Square	1853	1791	576.038	1214	6828.079104
TWTR	Twitter	3583	2483	1597.379	885	11115.964416
FUEL	Rocket Fuel	851	456	166.975	289	162.9464
ZNGA	Zynga	1681	748	502.874	246	2203.907584
FIT	Fitbit	1722	1963	845.884	1117	640.404288
TGT	Target Corp	323000	69494	20623.0	48871	41218.981888
HD	The home depot	406000	94594	32313.0	62281	208958.816256
UPS	United Parcel Service INC	237040	61802	47084.0	14718	103917.52704
FDX	Fedex	266000	57570	33038.0	24532	62610.833408
ORCL	Oracle Corp	136000	37428	29568.0	7860	180434.141184
